Pokedex Number;Pokemon Name;Classification;Alternate Form Name;Legendary Type;Pokemon Height;Pokemon Weight;Primary Type;Secondary Type;Primary Ability;Secondary Ability;Attack Stat;Defense Stat;Special Attack Stat;Special Defense Stat;Speed Stat;Base Stat Total
1;Bulbasaur;Seed Pokémon;NULL;NULL;7;69;Grass;Poison;Overgrow;NULL;49;49;65;65;45;318
2;Ivysaur;Seed Pokémon;NULL;NULL;10;130;Grass;Poison;Overgrow;NULL;62;63;80;80;60;405
3;Venusaur;Seed Pokémon;NULL;NULL;20;1000;Grass;Poison;Overgrow;NULL;82;83;100;100;80;525
3;Venusaur;Seed Pokémon;Mega;NULL;24;1555;Grass;Poison;Thick Fat;NULL;100;123;122;120;80;625
3;Venusaur;Seed Pokémon;Gigantamax;NULL;240;0;Grass;Poison;Overgrow;NULL;82;83;100;100;80;525
4;Charmander;Lizard Pokémon;NULL;NULL;6;85;Fire;NULL;Blaze;NULL;52;43;60;50;65;309
5;Charmeleon;Flame Pokémon;NULL;NULL;11;190;Fire;NULL;Blaze;NULL;64;58;80;65;80;405
6;Charizard;Flame Pokémon;NULL;NULL;17;905;Fire;Flying;Blaze;NULL;84;78;109;85;100;534
6;Charizard;Flame Pokémon;Mega X;NULL;17;1105;Fire;Dragon;Tough Claws;NULL;130;111;130;85;100;634
6;Charizard;Flame Pokémon;Mega Y;NULL;17;1005;Fire;Flying;Drought;NULL;104;78;159;115;100;634
6;Charizard;Flame Pokémon;Gigantamax;NULL;280;0;Fire;Flying;Blaze;NULL;84;78;109;85;100;534
7;Squirtle;Tiny Turtle Pokémon;NULL;NULL;5;90;Water;NULL;Torrent;NULL;48;65;50;64;43;314
8;Wartortle;Turtle Pokémon;NULL;NULL;10;225;Water;NULL;Torrent;NULL;63;80;65;80;58;405
9;Blastoise;Shellfish Pokémon;NULL;NULL;16;855;Water;NULL;Torrent;NULL;83;100;85;105;78;530
9;Blastoise;Shellfish Pokémon;Mega;NULL;16;1011;Water;NULL;Mega Launcher;NULL;103;120;135;115;78;630
9;Blastoise;Shellfish Pokémon;Gigantamax;NULL;250;0;Water;NULL;Torrent;NULL;83;100;85;105;78;530
10;Caterpie;Worm Pokémon;NULL;NULL;3;29;Bug;NULL;Shield Dust;NULL;30;35;20;20;45;195
11;Metapod;Cocoon Pokémon;NULL;NULL;7;99;Bug;NULL;Shed Skin;NULL;20;55;25;25;30;205
12;Butterfree;Butterfly Pokémon;NULL;NULL;11;320;Bug;Flying;Compound Eyes;NULL;45;50;90;80;70;395
12;Butterfree;Butterfly Pokémon;Gigantamax;NULL;170;0;Bug;Flying;Compound Eyes;NULL;45;50;90;80;70;395
